foodatlas_id	chebi	cdno
e10762	['main group molecular entity', 'polyatomic entity']	['others']
e10763	['main group molecular entity', 'polyatomic entity']	['others']
e10764	['main group molecular entity', 'polyatomic entity']	['others']
e10765	['main group molecular entity', 'polyatomic entity']	['others']
e10766	['main group molecular entity', 'polyatomic entity']	['others']
e10767	['main group molecular entity', 'polyatomic entity']	['others']
e10768	['main group molecular entity']	['others']
e10769	['main group molecular entity', 'polyatomic entity']	['others']
e10770	['main group molecular entity', 'polyatomic entity']	['others']
e10771	['main group molecular entity', 'polyatomic entity']	['others']
e10772	['main group molecular entity', 'polyatomic entity']	['others']
e10773	['main group molecular entity', 'polyatomic entity']	['others']
e10774	['main group molecular entity', 'polyatomic entity']	['others']
e10775	['main group molecular entity', 'polyatomic entity']	['others']
e10776	['main group molecular entity', 'polyatomic entity']	['others']
e10777	['main group molecular entity', 'polyatomic entity']	['others']
e10778	['main group molecular entity', 'polyatomic entity']	['others']
e10779	['main group molecular entity', 'polyatomic entity']	['others']
